abandon|放弃
abnormal|不正常的
aboriginal|土著的
absence|缺席
absolutely|绝对地
absorb|吸收
abstract|抽象的
absurd|荒谬的
abundant|丰富的
abuse|滥用
academic|学术的
accent|口音
access|进入；使用权
accommodate|容纳；使适应
accompany|陪伴
accomplish|完成
account|解释
accurate|准确的
accuse|指控
accustom|使习惯
achieve|实现；达到
acid|酸；尖刻的
acknowledge|承认；致谢
acquire|获得；学到
activate|激活；使活动
adapt|适应；改编
addict|成瘾者；入迷的人
addition|增加；加法
address|处理；向...讲话；地址
adequate|充足的；适当的
adherence|坚持；遵守
adjust|调整；适应
administration|行政部门
admission|承认；入场许可
admit|准许进入
adolescent|青少年
adopt|采用；收养
adore|崇拜；非常喜爱
advance|前进；提前
advantage|优势；好处
adventure|冒险
advocate|倡导者；提倡
aesthetic|审美的
affair|事务；事情
affect|影响
affection|喜爱；感情
affirm|肯定；确认
afford|负担得起
afterwards|后来；之后
agency|机构；代理
agenda|议程；日程
aggravate|加重；使恶化
aggressive|侵略性的；有进取心的
agreeable|令人愉快的；同意的
agriculture|农业
aircraft|飞机；航空器
airline|航空公司
alcohol|酒精
alert|警觉的；警报
algae|藻类
alienate|使疏远
alike|相似的
alleviate|缓解
allowance|津贴
alongside|在旁边
alphabet|字母表
alter|改变
alternative|替代的
altitude|海拔
altogether|总共
amateur|业余的
amazed|惊讶的
ambition|野心；雄心
ambulance|救护车
amendment|修订；修正案
amid|在…之中
among|在…之中
amuse|使娱乐
analogy|类比
analyse|分析
ancestor|祖先
anchor|锚；新闻主播
anger|愤怒
angle|角度
ankle|脚踝
anniversary|周年纪念
announce|宣布
annoy|惹恼
annual|每年的
anticipate|预期；期待
anxiety|焦虑
apologize|道歉
apparent|明显的
appeal|呼吁；上诉；吸引力
appear|出现；显得
appetite|食欲；欲望
applaud|鼓掌；称赞
appliance|器具；电器
apply|申请；应用
appoint|任命；指定
appreciate|欣赏；感激
approach|接近；方法
appropriate|合适的
approve|批准；同意
approximate|近似的
arch|拱门；拱形
archaeologist|考古学家
architect|建筑师
argument|争论
arise|出现；产生
arouse|唤起
arrange|安排
arrest|逮捕
arrival|到达
arrogant|傲慢的
arrow|箭
articulate|清晰地表达
ascend|上升
ash|灰烬
ashamed|羞愧的
aspect|方面
assemble|组装；集合
assess|评估
asset|资产
assign|分配
assist|帮助
associate|联系；关联
assume|假定；认为
assure|使确信；保证
astonish|使惊讶
astronomer|天文学家
asymmetry|不对称
atmosphere|大气的；氛围
atomic|原子的
attach|连接；附加
attain|达到；获得
attempt|尝试；试图
attend|参加；出席
attitude|态度
attract|吸引
attribute|归因于；属性
auction|拍卖
audience|观众；听众
audio|音频的
authentic|真正的；真实的
author|作者
authoritarian|威权的；专制的
authority|权威；当局
automatic|自动的
automobile|汽车
autonomous|自治的；自主的
available|可用的；可获得的
avenue|林荫道；途径
aware|意识到的
awesome|极好的；令人敬畏的
awkward|尴尬的；笨拙的
backward|向后的；落后的
bacon|培根
baggage|行李
bake|烘烤
ban|禁止
banner|横幅
barely|几乎不；勉强
bargain|讨价还价；便宜货
barrier|障碍
base|基础；基地
basin|水盆；流域
basis|基础；依据
battery|电池
battle|战斗
bay|海湾
beard|胡须
beast|野兽
beg|乞求；恳求
behalf|代表
behaviour|行为
belief|信仰；信念
bend|弯曲
beneath|在...之下
beneficial|有益的
besides|除了；此外
bestseller|畅销书/畅销品
bet|打赌
bias|偏见
bid|出价；投标
billion|十亿
bind|捆绑；约束
biographical|传记的
bite|咬
bitter|苦的；痛苦的
blame|责备
blank|空白的
blanket|毯子
bless|祝福；保佑
blossom|开花
boast|吹嘘
bomb|炸弹
bond|纽带；债券
bonus|奖金；额外收获
booklet|小册子
boom|繁荣；激增
boost|推动；提高
border|边界
bored|无聊的
botanic|植物的
bother|打扰
bounce|弹跳
bound|必然的；受约束的
boundary|边界
bowling|保龄球
boxing|拳击
brake|刹车
branch|树枝；分支
brand|品牌
breakthrough|突破
breast|胸部；乳房
breathe|呼吸
breed|繁殖；品种
brick|砖块
brilliant|杰出的；明亮的
broad|宽阔的；广泛的
broadcast|广播
brochure|小册子
bubble|气泡
buck|美元；雄鹿
buffet|自助餐
bulb|灯泡
bullet|子弹
bump|撞击；隆起
bunch|一串；一束
burden|负担
burnout|精疲力竭
burst|爆裂；突然发生
bury|埋葬
butcher|屠夫
button|按钮
cabin|小屋
cabinet|橱柜
cable|电缆
cafeteria|自助餐厅
caffeine|咖啡因
cage|笼子
calculate|计算
calligraphy|书法
calory|卡路里
camel|骆驼
campaign|运动；战役
campus|校园
canal|运河
candidate|候选人；申请者
canteen|食堂
capable|有能力的
capacity|容量；能力
capsule|胶囊；太空舱
capture|捕获；俘获
carbon|碳
career|职业生涯
cargo|货物
carpenter|木匠
carpet|地毯
carrier|搬运工；载体
carve|雕刻
cashier|收银员
cast|投掷；演员阵容
castle|城堡
casual|休闲的；偶然的
catalogue|目录
category|类别
cattle|牛
cautious|谨慎的
cave|洞穴
cease|停止
ceiling|天花板
celebrity|名人
cell|细胞；小房间
centimeter|厘米
ceremony|典礼
certificate|证书
chain|链条；连锁店
chairman|主席
channel|频道；海峡
chaos|混乱
chapter|章节
charge|收费；指控
charm|魅力
chart|图表
chase|追逐
cheek|脸颊
cheerful|快乐的
chef|厨师
chemical|化学的；化学品
chest|胸膛；箱子
chew|咀嚼
chief|首领；主要的
choke|窒息；哽咽
chop|砍；切碎
chronic|慢性的；长期的
church|教堂
cigarette|香烟
circuit|电路
circumstance|情况
circus|马戏团
cite|引用
civil|公民的
civilian|平民
civilisation|文明
claim|声称
clap|鼓掌
clarify|澄清
classical|古典的
classify|分类
clay|黏土
clerk|职员
client|客户
cliff|悬崖
clinic|诊所
clone|克隆
cloth|布料
clue|线索
coal|煤
code|代码
cognitive|认知的
coincidence|巧合
collaborate|合作
collapse|崩溃
collar|衣领
colleague|同事
collection|收藏
collective|集体的
colony|殖民地
column|柱子
combat|战斗
combination|结合
combine|联合
comedy|喜剧
comfort|安慰
comic|漫画的
command|命令
commend|赞扬
comment|评论
commerce|商业
commercial|商业的
commit|承诺
committee|委员会
commodity|商品
communication|交流
communist|共产主义的
commute|通勤
companion|同伴
comparison|比较
compel|强迫
compensate|补偿
competence|能力
competition|竞争
competitive|有竞争力的
complain|抱怨
complex|复杂的
compliance|遵守
complicated|复杂的
compliment|赞美
component|组成部分
compose|创作
composition|作文
compound|化合物
comprehension|理解
comprise|包含
compulsory|强制性的
conceal|隐藏
concentrate|集中
concept|概念
concern|关心
conclude|下结论
conclusion|结论
concrete|具体的
conduct|进行
conference|会议
confess|承认
confirm|确认
conflict|冲突
conform|符合
confrontation|对抗
confucius|孔子
confused|困惑的
congestion|堵塞
congratulate|祝贺
congress|国会
conquer|征服
conscience|良心
conscious|有意识的
constitution|宪法
construct|建造
construction|建筑
consult|咨询
consultant|顾问
consume|消耗
consumer|消费者
consumption|消费
contact|联系
contemporary|当代的
content|内容；满足的
contest|竞赛；竞争
context|上下文；背景
continent|大陆；洲
contract|合同；收缩
contradictory|矛盾的
contrary|相反的；对立面
contrast|对比；差异
contribute|贡献；捐献
contribution|贡献；捐献物
controversy|争议
convenience|便利
conventional|传统的；常规的
convert|转换；使改变信仰
convey|传达；运输
convince|使信服；说服
cope|应付；处理
core|核心；果核
corn|玉米；谷物
corporate|公司的；法人的
corporation|公司
costume|服装
cottage|小屋
council|议会
counter|柜台
counterintuitive|违反直觉的
counterpart|对应的人或物
coupon|优惠券
court|法庭
coverage|覆盖范围
craft|工艺
creature|生物
credit|信用
crew|船员
crime|犯罪
criminal|罪犯
crisis|危机
criteria|标准
critic|批评家
critical|关键的
criticise|批评
criticism|批评
crop|庄稼
crowd|人群
crown|王冠
crucial|关键的
cruel|残酷的
cue|提示
cuisine|烹饪
cultivate|培养
cupboard|橱柜
cure|治愈
curiosity|好奇
currency|货币
current|当前的
curriculum|课程
curtain|窗帘
curve|曲线
custom|习俗
cycle|周期
dairy|乳制品
damage|损害
damp|潮湿的
data|数据
database|数据库
dawn|黎明
deadline|截止日期
deadly|致命的
debate|辩论
debt|债务
decade|十年
deceive|欺骗
decent|体面的
decision|决定
declare|宣布
decline|拒绝
decorate|装饰
decrease|减少
dedicate|奉献
deed|行为
deer|鹿
default|默认
defeat|击败
defect|缺陷
defence|防御
defend|防御
define|定义
definition|定义
delay|推迟
delegate|代表
delete|删除
deliberate|故意的
delicate|精致的
delight|高兴
deliver|递送
delivery|递送
demand|要求
democracy|民主
democratic|民主的
demonstrate|展示
deny|否认
depart|离开
department|部门
departure|离开
dependent|依赖的
deposit|存款
depress|使沮丧
depth|深度
descend|下降
description|描述
deserve|应得
designate|指定
desirable|合意的
desire|渴望
desperate|绝望的
dessert|甜点
destination|目的地
destroy|破坏
destruction|破坏
detail|细节
detect|察觉
determine|决定
development|发展
developmental|发展的
device|设备
devote|奉献
diagnose|诊断
diagram|图表
diamond|钻石
differ|不同
digest|消化
dignity|尊严
diligent|勤奋的
dimension|尺寸
dinosaur|恐龙
diplomat|外交官
