单词,释义,例句(待补充)
academic,"adj.. 学院的；学术的；纯理论的; n.. 大学教师；大学科研人员",""
accent,"n.. 口音；语调，强调; v.. 强调，重读",""
access,"n.. 通道,入口接近[取得]…的方法[权利等]; v.. 接近,临近；到达,进入",""
accommodate,"v.. 适应，容纳，提供，调节",""
accompany,"v.. 陪伴，伴奏，补充，伴随...发生",""
accomplish,"v.. 完成，实现",""
account,"n.. 账户；解释，说明；记述，描述; v.. 把…视作；做出解释；是…的原因",""
accurate,"adj.. 准确的，精确的",""
accuse,"v.. 指责，控告，谴责",""
accustom,"v.. 使习惯",""
achieve,"v.. 实现，达到，完成",""
acid,"adj.. 酸的，酸味的；尖刻的，刻薄的; adj.. 酸的，酸性的，尖酸的; n.. 酸，酸性物质，迷幻药",""
acknowledge,"v.. 承认，告知收到，公认，表示感谢",""
acquire,"v.. 获得，取得，学到",""
activate,"v.. 激活，启动，使活动",""
adapt,"v.. 适应，改编，使适应，适合",""
addict,"n.. 上瘾者，耽溺者; v.. 沉溺，使...上瘾",""
addition,"n.. 加法，增加，附加物",""
address,"n.. 住址；地址；网址；演讲; v.. 在…写上姓名和地址; v.. 对付；处理；谈及；向……作正式讲话；向……说话",""
adequate,"adj.. 足够的，适当的，能胜任的",""
adherence,"n.. 坚持，粘附，固守",""
adjust,"v.. 调整，调节，校准，使适应",""
administration,"n.. 管理，行政，行政部门，实施",""
admission,"n.. 承认，许可，入会费",""
admit,"v.. 承认；准许（入场、入学等）",""
adopt,"v.. 采用，收养，接受",""
adore,"v.. 崇拜，爱慕，很喜欢",""
advance,"adj.. 预先的，事先的; adj.. 预先的，提前的; n.. 发展;预先; n.. 进展，前进，预付金; v.. 前进，推进，预付，增长",""
advantage,"n.. 优势；有利条件; v.. 有利于",""
adventure,"n.. 冒险，奇遇; n.. 冒险；探险; v.. 冒险，尝试，大胆进行",""
advocate,"n.. 拥护者，提倡者；辩护者，律师；代言人; v.. 提倡；拥护；支持",""
aesthetic,"adj.. 审美的，美学的，有美感的; n.. (复数)审美观; n.. 美学；审美观",""
affair,"n.. 事情，事件，事务，私通",""
affect,"v.. 影响，感动，作用; vt.. [广义]影响，起作用；[狭义](在感情方面)使感动，打动",""
affection,"n.. 感情，影响，喜爱，慈爱",""
affirm,"v.. 肯定，断言，证实",""
afford,"v.. 提供，给予，花费得起，能够做",""
afterwards,"adv.. 以后，后来",""
agency,"n.. 代理，代理处，政府机构",""
agenda,"n.. 议事日程",""
aggravate,"v.. 恶化，严重；激怒",""
aggressive,"adj.. 有进取心的，好斗的，侵略的，进攻性的",""
agreeable,"adj.. 愉快的，和蔼可亲的，一致的，欣然同意的",""
agriculture,"n.. 农业，农学，农艺",""
airline,"n.. 航空公司，航线",""
alcohol,"n.. 酒，酒精，乙醇",""
alert,"adj.. 警觉的，灵敏的; n.. 警报，警戒; v.. 警惕，使意识到",""
algae,"n.. 海藻，水藻，名词alga的复数形式",""
alienate,"v.. 离间，使疏远，让与，麻木",""
alike,"adj.. 相同的，相似的; adv.. 类似于，以同样的方式",""
alleviate,"v.. 减轻，使...缓和",""
allowance,"n.. 津贴，零用钱，允许，折扣",""
alongside,"adv.. 在旁边; prep.. 在…旁边",""
alphabet,"n.. 字母表；基本要素",""
alter,"v.. 改变，更改，阉割，切除卵巢",""
alternative,"adj.. 供选择的，两者择一的，非主流的; adj.. 供选择的；备选；替代的; n.. 替代品；二者择一",""
altitude,"n.. 高度，海拔，高地",""
altogether,"adv.. 总共，完全，总的来说",""
amateur,"adj.. 业余爱好的，业余（身份）的；外行的; n.. 业余爱好者；外行",""
amazed,"adj.. 吃惊的，惊愕的，动词amaze的过去式和过去分词",""
ambition,"n.. 雄心；野心; v.. 追求，有…野心",""
ambulance,"n.. 救护车; n.. 救护车；野战医院",""
amendment,"n.. 修正，修正案，改进",""
amid,"prep.. 在其间，在其中",""
among,"prep.. 在...之中，...之一",""
amuse,"v.. 娱乐，消遣，使...发笑",""
analogy,"n.. 类比，相似，类似",""
analyse,"v.. 分析，细察",""
ancestor,"n.. 祖先，祖宗，原种",""
anchor,"n.. 锚；精神支柱; v.. 抛锚；系牢，固定",""
anger,"n.. 怒气；怒火; v.. 激怒，发火",""
angle,"n.. 角，角度，观点，盎格鲁人; v.. 钓鱼，谋取，形成或转变角度，歪曲",""
ankle,"n.. 踝，踝关节",""
anniversary,"n.. 周年纪念，周年纪念日",""
announce,"v.. 宣布，宣告，预示，播报",""
annoy,"v.. 骚扰，使烦恼，使恼怒",""
annual,"adj.. 每年的；一年一度的；一年生的; n.. 年报，年鉴；一年生的植物",""
anticipate,"v.. 预期，提前使用，预言，抢...前",""
anxiety,"n.. 焦虑，担心，渴望",""
apologize,"v.. 道歉，赔罪",""
apparent,"adj.. 明显的，表面上的",""
appeal,"n/v.. 呼吁；恳求；上诉；吸引",""
appear,"v.. 出现，显得，出版，好像",""
appetite,"n.. 食欲，欲望，嗜好",""
applaud,"v.. 鼓掌，称赞，赞成，拍手喝彩",""
appliance,"n.. 装置，应用，器具，器械",""
apply,"v.. 应用，申请，涂，使专心从事",""
appoint,"v.. 任命，指定，委派，约定",""
appreciate,"v.. 欣赏，感激，赏识，领会",""
approach,"n.. 方法；接近；路径; v.. 靠近；接近；临近",""
appropriate,"adj.. 恰当的；合适的；相称的; vt.. 私吞，挪用",""
approve,"v.. 批准，赞成，同意，称许",""
approximate,"adj.. 近似的，大约的; v.. 接近，约等于",""
arch,"adj.. 主要的，调皮的; adj.. 调皮的，淘气的; n.. 拱，拱门，拱状物; n.. 拱形；拱门; v.. 呈弓形; v.. 拱起，成拱形",""
archaeologist,"n.. 考古学家",""
architect,"n.. 建筑师，创造者，【喻】缔造者",""
argument,"n.. 论点，争论，论据，辩论",""
arise,"v.. 出现，发生，起来，升起",""
arouse,"v.. 唤醒，激起，叫醒，睡醒",""
arrange,"v.. 安排，整理，计划",""
arrest,"n.. 逮捕，拘留; v.. 逮捕，拘留; vt.. 逮捕，拘留",""
arrival,"n.. 到达; n.. 到达，到达者，达到，新生儿",""
arrogant,"adj.. 傲慢的，自大的",""
arrow,"n.. 箭，箭头",""
articulate,"adj.. 发音清晰的，有关节的，善于表达的; adj.. 善于表达的；口齿伶俐的; v.. 发音，清楚地讲话，以关节连接",""
ascend,"v.. 上升，攀登",""
ash,"n.. 灰，灰烬，白蜡树，白蜡木",""
ashamed,"adj.. 感到惭愧的，感到害臊的",""
aspect,"n.. 方面，方位，外观，外貌",""
assemble,"v.. 装配，集合，收集",""
assess,"v.. 评估，评定，估算",""
asset,"n.. 资产，优点，有用的东西",""
assign,"n.. 受让人; v.. 分派；布置；分配；委派；赋予; v.. 分配，指定，指派，确定",""
assist,"n.. (无释义)",""
associate,"adj.. 副的；联合的，合伙的; n.. 伙伴；同事; v.. 使联合；使有联系；交往",""
assume,"v.. 假定，承担，设想，假装",""
assure,"v.. 确保，使确信，使放心",""
astonish,"v.. 使吃惊，使惊讶",""
astronomer,"n.. 天文学家",""
asymmetry,"adj.. 大西洋的Atlantic正面单词卡背面单词卡; n.. 不对称; n.. 大西洋",""
atmosphere,"n.. 气氛，大气，空气，气压",""
atomic,"adj.. 原子的",""
attach,"v.. 附上，贴上，使附属，系上",""
attain,"v.. 达到，实现，获得",""
attempt,"n.. 试图，企图; n/v.. 尝试，试图；努力; n/v.. 尝试；试图; v.. 尝试，企图",""
attend,"v.. 参加，出席，照料，注意",""
attract,"v.. 吸引，引来",""
attribute,"n.. 属性，特征，标志，象征; v.. 把……归于",""
auction,"n.. 拍卖; v.. 拍卖",""
audience,"n.. 观众，听众，读者，倾听",""
audio,"adj.. 声音的，成音频率的; n.. 音频，音响设备; n/adj.. 声音(的)，音频(的)",""
authentic,"adj.. 真实的，真正的，可信的，可靠的",""
author,"n.. 作者，作家，上帝; v.. 编写，创作",""
authoritarian,"adj.. 独裁主义的，权力主义的; n.. 独裁主义者，权力主义者",""
authority,"n.. 权威，权力，当局，职权",""
automatic,"adj.. 自动的，无意识的，必然的; adj.. 自动的；无意识的; n.. 自动装置，半自动武器",""
automobile,"adj.. 汽车的; n.. 汽车",""
autonomous,"adj.. 自治的，资助的",""
available,"adj.. 可利用的，有效的，可得到的，有空的",""
avenue,"n.. 大街，林荫道，途径手段",""
aware,"adj.. 知道的，意识到的",""
awesome,"adj.. 可怕的，了不起的，表示敬畏的，精彩的",""
awkward,"adj.. 尴尬的，笨拙的，（设计）别扭的",""
backward,"adj.. 向后的，落后的; adv.. 向后",""
bacon,"n.. 培根，熏肉，咸肉",""
baggage,"n.. 行李",""
bake,"v.. （在烤炉里）烘烤; v.. 烤，烘焙，烘干，灼热",""
ban,"n.. 禁止；禁令; v.. 禁止；取缔",""
banner,"adj.. 杰出的，特别好的; n.. 旗帜，横幅，大标题; v.. 用横幅装饰，以大标题报道",""
barely,"adv.. 几乎不，勉强，刚刚，少量地",""
bargain,"n.. 廉价货；交易；契约，合同; v.. 讨价还价；议价；成交",""
barrier,"n.. 屏障，障碍物，栅栏",""
base,"n.. 根基；基底；底座；基部；基地；基础; v.. 基于；以……为基础；把…设在(基地)",""
basin,"n.. 盆地，流域，脸盆，水池",""
basis,"n.. 基础，根据，基底",""
battery,"n.. 电池; n.. 电池，一系列，炮兵连，排炮",""
battle,"n.. 战争；斗争; n.. 战斗，争斗; v.. 与...竞争，与...作战; v.. 斗争；作战",""
bay,"adj.. 红棕色的; n.. 海湾，月桂树，隔间，犬吠; v.. 嗥叫，哀号",""
beard,"n.. 胡须; v.. 公开反对，抓住胡须",""
beg,"v.. 乞讨，恳求abbr.开始(=begin); v.. 请求；恳求",""
behalf,"n.. 代表，利益，方面",""
behaviour,"n.. 行为，举止，品行",""
belief,"n.. 信仰，信念，相信",""
bend,"v.. 屈，弯曲（身体部位）；（方向上）弯曲，转弯；弯腰；俯身；屈服",""
beneath,"adv.. 在下方；在底下; prep.. 在…之下；不如，配不上，不值得",""
beneficial,"adj.. 有益的，有利的",""
besides,"adv.. 除了(还有)，此外；而且; prep.. 除…之外",""
bestseller,"n.. 畅销书",""
bet,"n.. 打赌；赌金；赌注; n.. 赌注，确信; v.. 打赌，确信无疑; vt.. 用…打赌，与…打赌，打赌；敢说，确信",""
bias,"n.. 偏见，偏爱，斜纹; n.. 偏见；偏心; v.. 使偏心; v.. 使偏心；使产生偏见",""
bid,"n.. 出价投标；企图，努力；出价，叫牌; v.. 命令；出价，投标",""
billion,"n.. 十亿",""
bind,"n.. 窘境; v.. 约束，装订，捆绑，团结",""
biographical,"adj.. 传记的",""
bite,"n.. 咬；一口；咬伤；刺痛; v.. 叮；咬；上钩",""
bitter,"adj.. 苦的；痛苦的；尖刻的；充满仇恨的",""
blame,"n.. 责备; n.. 责备，过失; v.. 责备，把...归咎于; v.. 责备；归咎于; vt/n.. 责备，指责",""
blank,"adj.. 空白，空白的，空白处，茫然的",""
blanket,"adj.. 通用的；全面的；无一例外的; n.. 毛毯；覆盖物; v.. 覆盖；扑灭",""
bless,"v.. 祝福，保佑，赐福，有幸具有",""
blossom,"n.. 花，开花，全盛期; v.. 开花，成长",""
boast,"n.. 自夸，引以为荣的事物; v.. 自夸，吹牛，以...为荣",""
bomb,"n.. 炸弹; v.. 轰炸，投弹，失败，投弹于",""
bond,"n.. 债券，结合，联系，协定; n.. 公债，债券；契约; v.. (使)黏合，(使)结合; v.. 粘合，使结合，为...作保，连结",""
bonus,"n.. 奖金，红利，意外所得之物，【篮】追加罚篮",""
booklet,"n.. 小册子",""
boom,"n.. 繁荣；迅速增长; v.. 迅速发展；兴旺；发出隆隆声",""
boost,"n.. 增加，推进，鼓励; v.. 提高，增加，鼓励，举起",""
border,"n.. 边界，边境；边缘，界线; v.. 与…接壤；给…镶边",""
bored,"adj.. 不感兴趣的；厌倦的；无聊的",""
botanic,"n.. (无释义)",""
bother,"n.. 麻烦；令人烦恼的人(或事); v.. 烦扰，迷惑；费心，担心",""
bounce,"n.. 弹跳；弹性；活力; v.. 弹起，使弹起，解雇，退票",""
bound,"adj.. 有义务的；必定的; n.. 跳动；界限; v.. 限制；束缚",""
boundary,"n.. 边界，分界线",""
bowling,"n.. 保龄球",""
boxing,"n.. 拳击，盒式包装，制箱材料",""
brake,"n.. 刹车，制动器，闸; v.. 刹车；约束",""
