Row0: 复习内容详细说明 | DAY1-- | DAY2 | DAY3 | DAY4 | DAY5 | DAY6 | DAY7 | 注：日期下方为复习具体单词表单
Row1: 第一轮全面复习 | - | - | - | L1 | L2 | L3 | L4 | -
Row2: 当天+前一课复习 | L1 | L1、L2 | L2、L3 | L3、L4 | L4、L5 | L5、L6 | L6、L7 | -
Row3: - | DAY8 | DAY9 | DAY10 | DAY11 | DAY12 | DAY13 | DAY14 | -
Row4: 第一轮全面复习 | L5 | L6 | L7 | L8 | L9 | L10 | - | -
Row5: 当天+前一课复习/ 结课后进行间隔7天复习，避免遗忘 | L7、L8 | L8、L9 | L9、L10 | L1、L4、L10 （与第一次学习L4间隔7天、与L1的第一复习间隔7天） | L2、L5 （与第一次学习L5间隔7天、与L2的第一复习间隔7天） | L3、L6 | L7 | -
Row6: - | DAY15 | DAY16 | DAY17 | DAY18 | DAY19 | DAY20 | DAY21 | -
Row7: 第二轮全面复习 | L1 | L2 | L3 | L4 | L5 | L6 | L7 | -
Row8: 结课后间隔七天抗遗忘复习 | L8 | L9 | L3、L10 | - | - | - | - | -
Row9: - | DAY22 | DAY23 | DAY24 | DAY25 | DAY26 | DAY27 | DAY28 | -
Row10: 第二轮全面复习 | L8 | L9 | L10 | 休息 | - | - | - | -
Row11: - | DAY29 | DAY30 | DAY31 | DAY32 | DAY33 | DAY34 | DAY35 | -
Row12: 第三轮全面复习 | - | L1 | L2 | L3 | L4 | L5 | L6 | -
Row13: - | DAY36 | DAY37 | DAY38 | DAY39 | DAY40 | DAY41 | DAY42 | -
Row14: 第三轮全面复习 | L7 | L8 | L9 | L10 | 休息 | - | - | -
Row15: - | DAY43 | DAY44 | DAY45 | DAY46 | DAY47 | DAY48 | DAY49 | -
Row16: - | 休息 | - | - | - | - | - | - | -
Row17: - | DAY50- | DAY51 | DAY52 | DAY53 | DAY54 | DAY55 | DAY56 | -
Row18: - | 综合检测 | 小程序中根据综合检测的【错题】进行复习打卡 | - | - | - | - | - | -
Row19: - | DAY57 | DAY58 | DAY59 | DAY60 | DAY61 | DAY62 | DAY63 | -
Row20: - | 小程序中根据综合检测的【错题】进行复习打卡 | - | - | - | - | - | - | -
Row21: - | DAY64 | DAY65 | DAY66 | DAY67 | DAY68 | DAY69 | DAY70 | -
Row22: - | 休息 | - | - | - | - | - | - | -
Row23: - | DAY71 | DAY72 | DAY73 | DAY74 | DAY75 | DAY76 | DAY77 | -
Row24: - | 休息 | - | - | - | - | - | - | -
Row25: - | DAY78 | DAY79 | DAY80 | DAY81 | DAY82 | DAY83 | DAY84 | -
Row26: - | 休息 | - | - | 综合效果检测 | 小程序中根据综合检测的【错题】进行复习打卡 | - | - | -
Row27: - | DAY85 | DAY86 | DAY87 | DAY88 | DAY89 | DAY90 | DAY91 | -
Row28: - | 小程序中根据综合检测的【错题】进行复习打卡 | - | - | - | - | - | - | -
